Date,Close,High,Low,Open,Volume
2010-01-01,28.3,28.94,28.27,28.81,0
2010-01-04,29.1,29.14,28.2,28.53,1199699
2010-01-05,28.76,29.17,28.65,28.96,957019
2010-01-06,29.4,29.44,28.78,28.9,2014598
2010-01-07,29.08,29.16,28.77,29.1,2051248
2010-01-08,28.87,28.89,28.49,28.55,1168269
2010-01-11,28.68,28.99,28.2,28.82,1281603
2010-01-12,28.21,28.76,28.18,28.59,1352455
2010-01-13,28.46,28.59,28.29,28.35,727328
2010-01-14,28.5,28.6375,28.23,28.37,1044632
2010-01-15,28.44,28.59,28.14,28.52,2627110
2010-01-18,28.44,28.59,28.14,28.52,0
2010-01-19,28.4,28.52,28.2,28.25,1356375
2010-01-20,28.34,28.43,27.86,28.15,1451805
2010-01-21,27.75,28.47,27.66,28.42,2202087
2010-01-22,27.36,27.69,27.26,27.55,1273132
2010-01-25,27.36,27.59,27.2,27.59,914725
2010-01-26,27.43,27.555,27.05,27.25,855673
2010-01-27,27.5,27.57,26.99,27.33,1216450
2010-01-28,27.61,27.9,27.415,27.84,1199960
2010-01-29,27.66,28.0,27.45,27.59,1397803
2010-02-01,27.8,27.91,27.58,27.84,826769
2010-02-02,28.06,28.13,27.75,27.78,993019
2010-02-03,28.06,28.25,27.8181,27.99,1106643
2010-02-04,26.84,27.93,26.78,27.85,1713739
2010-02-05,27.1,27.14,26.38,26.73,2351067
2010-02-08,26.84,27.27,26.82,26.98,1045144
2010-02-09,26.86,27.125,26.635,27.04,1518030
2010-02-10,26.84,26.9098,26.48,26.81,1727777
2010-02-11,27.17,27.295,26.56,26.81,1522273
2010-02-12,27.08,27.14,26.71,26.94,1553083
2010-02-15,27.08,27.14,26.71,26.94,0
2010-02-16,27.44,27.54,27.01,27.26,1673776
2010-02-17,28.59,28.71,27.39,27.43,3933331
2010-02-18,29.14,29.18,28.51,28.65,1555049
2010-02-19,28.93,29.225,28.89,28.99,1825369
2010-02-22,28.65,29.05,28.48,28.89,1286746
2010-02-23,28.42,28.69,28.21,28.58,1226228
2010-02-24,28.65,28.69,28.31,28.59,1810996
2010-02-25,31.83,32.02,30.38,30.91,12704353
2010-02-26,31.75,32.03,30.95,31.3,3313482
2010-03-01,31.18,32.18,31.15,31.95,2578537
2010-03-02,31.5,31.73,31.29,31.34,2563568
2010-03-03,31.65,32.0,31.49,31.57,2333605
2010-03-04,31.95,32.14,31.63,31.65,3293350
2010-03-05,32.35,32.45,31.955,32.08,2495326
2010-03-08,32.85,33.05,32.16,32.39,3385382
2010-03-09,33.47,33.93,32.64,32.68,3405136
2010-03-10,33.65,33.85,33.25,33.43,3696013
2010-03-11,35.03,35.24,34.31,34.44,6037186
2010-03-12,34.97,35.33,34.915,35.23,1689731
2010-03-15,34.95,35.7,34.7375,35.47,3033994
2010-03-16,36.47,36.58,35.3,35.45,4579494
2010-03-17,36.68,36.8,36.32,36.65,2607240
2010-03-18,36.67,37.06,36.35,36.67,3296459
2010-03-19,36.18,36.85,36.05,36.69,3684834
2010-03-22,36.8,36.93,36.12,36.21,2465050
2010-03-23,36.57,36.97,36.26,36.9,2099141
2010-03-24,36.33,36.62,36.01,36.5,2308903
2010-03-25,36.13,36.75,36.08,36.72,2282978
2010-03-26,35.8,36.39,35.41,36.18,2726011
2010-03-29,35.64,35.99,35.56,35.82,1904249
2010-03-30,35.63,36.01,35.35,35.66,1647303
2010-03-31,35.17,35.68,35.12,35.61,1651822
2010-04-01,35.48,35.54,35.16,35.29,2631925
2010-04-02,35.48,35.54,35.16,35.29,0
2010-04-05,35.47,35.93,35.385,35.53,2168491
2010-04-06,35.45,35.59,35.19,35.34,1820345
2010-04-07,34.95,35.52,34.95,35.36,2277329
2010-04-08,35.22,35.48,34.66,34.87,1994707
2010-04-09,35.15,35.23,34.89,35.11,1775557
2010-04-12,35.02,35.28,34.88,35.24,1428382
2010-04-13,34.87,35.109,34.77,35.09,1432196
2010-04-14,34.75,35.12,34.68,34.83,2084409
2010-04-15,34.23,34.685,34.05,34.63,3100411
2010-04-16,34.03,34.4,33.88,34.11,2400101
2010-04-19,34.09,34.2,33.64,34.0,1610440
2010-04-20,34.01,34.29,33.855,34.19,1165224
2010-04-21,33.79,34.36,33.675,33.99,1632575
2010-04-22,33.4,33.72,33.06,33.6,1878316
2010-04-23,33.59,33.77,33.2,33.51,1052768
2010-04-26,34.04,34.2,33.65,33.65,3044593
2010-04-27,33.22,33.9,33.13,33.76,1779508
2010-04-28,33.51,33.58,33.01,33.27,1807397
2010-04-29,34.35,34.35,33.51,33.62,1949383
2010-04-30,32.73,34.44,32.69,34.32,4313468
2010-05-03,34.19,34.54,33.63,33.91,2441951
2010-05-04,33.23,34.1,33.025,33.72,2987697
2010-05-05,33.99,34.55,32.71,33.0,3410924
2010-05-06,34.37,36.0,33.73,34.12,9008972
2010-05-07,35.72,36.4,34.31,34.48,7388396
2010-05-10,36.62,36.77,35.93,36.6,3735220
2010-05-11,36.78,37.45,36.02,36.22,4002156
2010-05-12,37.87,38.14,36.87,37.01,5570659
2010-05-13,37.89,38.9,37.8,38.66,4655161
2010-05-14,37.25,37.79,36.75,37.75,2807135
2010-05-17,38.0,38.2,37.28,37.48,3095042
2010-05-18,38.12,38.93,38.03,38.08,5208683
2010-05-19,38.07,38.19,37.34,37.88,2752507
2010-05-20,36.27,37.64,36.22,37.5,3682270
2010-05-21,36.72,36.93,35.5,35.87,3528560
2010-05-24,36.83,37.15,36.31,36.51,2364431
2010-05-25,37.11,37.145,35.29,35.87,3089505
2010-05-26,37.29,37.84,37.22,37.25,2829107
2010-05-27,38.17,38.34,37.57,37.82,3065627
