Date,Close,High,Low,Open,Volume
2010-01-01,49.85,51.1,49.7919,50.87,0
2010-01-04,52.6,52.68,51.06,51.15,2243948
2010-01-05,53.31,53.41,52.35,52.35,1825852
2010-01-06,53.0,53.57,52.691,53.39,2473261
2010-01-07,52.9,53.08,52.06,52.7,1427252
2010-01-08,53.93,54.04,52.05,52.71,2072023
2010-01-11,52.03,54.65,51.63,54.2,2414564
2010-01-12,50.73,51.38,50.18,51.21,2068156
2010-01-13,52.01,52.11,50.03,50.82,1936599
2010-01-14,53.28,53.31,51.9,52.01,3102175
2010-01-15,52.75,53.51,51.57,53.07,2198080
2010-01-18,52.75,53.51,51.57,53.07,0
2010-01-19,53.08,53.17,52.11,52.13,2295779
2010-01-20,51.69,52.5,51.15,52.5,1402348
2010-01-21,50.5,52.19,49.91,51.98,3155659
2010-01-22,48.82,50.58,48.7,50.24,3301320
2010-01-25,49.88,50.36,49.17,49.39,2598333
2010-01-26,47.99,49.71,47.79,49.45,3511001
2010-01-27,47.35,48.28,46.6,47.8,3067825
2010-01-28,47.04,48.19,46.23,48.19,3391632
2010-01-29,46.0,48.11,45.72,47.59,3443996
2010-02-01,47.57,47.72,46.37,46.51,2244779
2010-02-02,48.76,48.96,47.3,47.85,2538358
2010-02-03,48.44,49.08,48.1,48.29,2284152
2010-02-04,46.25,47.45,45.92,47.43,3935099
2010-02-05,46.42,46.58,45.0,46.3,4056930
2010-02-08,46.44,47.22,45.85,46.02,2978872
2010-02-09,47.53,48.04,46.81,47.17,3396874
2010-02-10,47.73,48.05,46.4,47.11,2638525
2010-02-11,48.79,48.9,47.5,48.08,3014821
2010-02-12,49.61,49.72,47.94,48.25,3236136
2010-02-15,49.61,49.72,47.94,48.25,0
2010-02-16,52.93,53.06,50.77,51.2,5247959
2010-02-17,53.29,53.53,52.23,52.75,3225099
2010-02-18,53.34,53.78,53.04,53.29,3323884
2010-02-19,53.9,54.06,52.98,53.23,2485552
2010-02-22,52.64,54.11,52.49,53.78,2557866
2010-02-23,50.63,52.46,50.52,52.11,3890316
2010-02-24,50.43,51.78,50.0,50.34,4263073
2010-02-25,51.03,51.16,48.9,49.43,3647512
2010-02-26,50.61,51.36,49.78,51.23,2414673
2010-03-01,51.23,51.53,50.69,51.15,2630398
2010-03-02,50.51,51.54,50.37,51.36,2982784
2010-03-03,50.42,51.005,50.26,50.64,2476821
2010-03-04,49.65,50.79,49.25,50.33,2417356
2010-03-05,51.46,51.57,50.13,50.39,3353270
2010-03-08,50.47,51.94,50.47,51.77,2001793
2010-03-09,51.31,51.65,49.93,50.24,2280727
2010-03-10,51.36,51.84,50.8,51.39,2500618
2010-03-11,51.28,51.89,51.0,51.03,1557896
2010-03-12,51.33,51.79,50.86,51.76,1996045
2010-03-15,50.54,51.16,49.658,51.12,1388338
2010-03-16,50.61,50.74,50.06,50.71,1712788
2010-03-17,50.88,51.39,49.97,51.06,2759936
2010-03-18,49.31,51.09,48.85,51.04,3044701
2010-03-19,47.76,49.45,47.1,49.26,3892518
2010-03-22,47.66,47.89,46.36,47.05,4146434
2010-03-23,47.53,48.3,47.07,47.68,3326978
2010-03-24,47.41,48.19,46.86,47.15,3049873
2010-03-25,45.73,48.17,45.54,47.77,4710152
2010-03-26,45.67,46.08,44.68,45.92,6652622
2010-03-29,46.95,47.12,45.84,45.95,2489942
2010-03-30,46.78,47.16,46.02,47.07,2269850
2010-03-31,46.87,47.5,46.5,46.74,1918383
2010-04-01,47.54,48.02,47.0,47.18,2454812
2010-04-02,47.54,48.02,47.0,47.18,0
2010-04-05,48.88,49.07,47.58,47.66,2129027
2010-04-06,48.9,49.1699,48.36,48.42,1650983
2010-04-07,47.93,48.9,47.56,48.7,1951678
2010-04-08,48.33,48.35,47.25,47.52,2236194
2010-04-09,50.28,51.5,49.78,51.14,5291463
2010-04-12,50.17,50.9,49.67,50.24,2008124
2010-04-13,50.2,50.39,49.44,50.22,1768604
2010-04-14,50.83,51.09,49.91,50.28,2202470
2010-04-15,51.04,51.32,50.53,50.62,2510390
2010-04-16,49.75,50.96,49.27,50.75,3433683
2010-04-19,48.52,49.26,47.95,49.21,2479983
2010-04-20,48.95,49.38,48.73,49.05,3284851
2010-04-21,49.08,49.53,48.34,49.0,2008454
2010-04-22,49.33,49.63,48.01,48.55,2353339
2010-04-23,50.78,50.91,48.86,49.89,3232172
2010-04-26,51.16,51.52,50.47,50.58,2692636
2010-04-27,48.93,51.32,48.65,50.75,2810165
2010-04-28,47.57,49.48,47.25,48.97,4951296
2010-04-29,46.64,48.42,45.36,48.28,3631913
2010-04-30,47.76,48.37,46.05,46.8,4107913
2010-05-03,49.52,50.24,47.38,47.85,4155611
2010-05-04,49.52,49.63,48.25,48.77,3373476
2010-05-05,48.72,48.955,47.46,48.41,2850527
2010-05-06,46.23,48.96,43.3,48.59,4594432
2010-05-07,43.85,46.47,43.14,45.64,4868721
2010-05-10,48.29,48.61,46.11,46.25,6668133
2010-05-11,47.67,48.44,47.31,47.87,3592044
2010-05-12,48.05,48.485,47.54,47.79,2934048
2010-05-13,48.76,49.54,47.62,47.91,2955603
2010-05-14,47.97,49.01,46.97,48.4,4397179
2010-05-17,46.57,48.46,45.72,48.21,3289048
2010-05-18,46.21,48.04,45.98,47.39,2981976
2010-05-19,45.51,46.16,44.18,45.85,3392717
2010-05-20,42.95,44.25,42.95,44.05,3399500
2010-05-21,43.47,43.9258,41.32,41.43,4259038
2010-05-24,42.47,43.77,42.43,42.76,2424405
2010-05-25,42.2,42.28,40.94,41.61,5437392
2010-05-26,42.53,43.51,42.28,43.1,2729479
2010-05-27,44.95,45.01,43.51,43.61,2573994
2010-05-28,44.95,45.74,44.5,45.11,2841123
2010-05-31,44.95,45.74,44.5,45.11,0
2010-06-01,43.7,45.5,43.7,44.57,3142708
2010-06-02,47.9,47.96,44.44,44.6,4629517
2010-06-03,51.01,51.22,47.67,48.23,5629146
2010-06-04,48.3,53.64,47.55,50.16,10609218
2010-06-07,47.7,50.5,47.4,48.7,5242928
2010-06-08,46.95,48.31,45.89,47.75,5684853
2010-06-09,46.81,48.39,46.48,47.61,4176383
2010-06-10,49.36,49.4,47.8,48.0,3434783
2010-06-11,49.65,50.08,48.46,48.64,2340058
2010-06-14,49.49,50.81,49.3,50.41,2267154
2010-06-15,50.83,50.91,49.79,49.79,2326606
2010-06-16,50.72,51.24,49.94,50.23,2028182
2010-06-17,49.53,51.1,48.86,50.82,2414776
2010-06-18,48.89,49.78,48.6,49.51,4049235
